2021-01-04 22:51:17.430 [main] INFO  com.wechat.program.app.ProgramAppApplicationTests - Starting ProgramAppApplicationTests on LAPTOP-J99VU5CF with PID 20308 (started by 15652 in D:\Java_code\wanyue\program_app)
2021-01-04 22:51:17.433 [main] INFO  com.wechat.program.app.ProgramAppApplicationTests - No active profile set, falling back to default profiles: default
2021-01-04 22:51:21.308 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-01-04 22:51:21.784 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2021-01-04 22:51:21.785 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2021-01-04 22:51:21.786 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2021-01-04 22:51:21.787 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2021-01-04 22:51:22.133 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-01-04 22:51:22.160 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-01-04 22:51:22.224 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-01-04 22:51:22.420 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: addUsingPOST_1
2021-01-04 22:51:22.423 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: listUsingGET_1
2021-01-04 22:51:22.454 [main] INFO  com.wechat.program.app.ProgramAppApplicationTests - Started ProgramAppApplicationTests in 5.428 seconds (JVM running for 6.622)
2021-01-05 11:09:08.763 [main] INFO  com.wechat.program.app.ProgramAppApplication - Starting ProgramAppApplication on YanjiedeMBP-2 with PID 11908 (/Users/yanjietu/Documents/java/program_app/target/classes started by yanjietu in /Users/yanjietu/Documents/java/program_app)
